"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9394","Accessibility — Japan eSIM Page WCAG 2.1 AA","chromium","Sat Mar 28 13:11:48 UTC 2026","failed","Sat Mar 28 13:11:58 UTC 2026","","a11y/airalo-a11y.spec.ts","",""
"","3112","Core Web Vitals — Airalo Homepage","chromium","Sat Mar 28 13:11:21 UTC 2026","passed","Sat Mar 28 13:11:25 UTC 2026","","perf/airalo-perf.spec.ts","",""
"","9354","Accessibility — Homepage WCAG 2.1 AA","chromium","Sat Mar 28 13:11:28 UTC 2026","failed","Sat Mar 28 13:11:37 UTC 2026","","a11y/airalo-a11y.spec.ts","",""
"","5384","Homepage search — autocomplete, case-insensitive, invalid input [Japan]","chromium","Sat Mar 28 13:11:33 UTC 2026","passed","Sat Mar 28 13:11:38 UTC 2026","","e2e/airalo-flow.spec.ts","",""
"","8725","Japan eSIM — search → unlimited 7 days → verify price at Buy Now","chromium","Sat Mar 28 13:11:18 UTC 2026","passed","Sat Mar 28 13:11:27 UTC 2026","","e2e/airalo-flow.spec.ts","",""
"","5779","Japan eSIM — Standard tab packages & tab switching","chromium","Sat Mar 28 13:11:27 UTC 2026","passed","Sat Mar 28 13:11:33 UTC 2026","","e2e/airalo-flow.spec.ts","",""
