"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","transitions to VALIDATION_FAILED on 422","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","CREATING → VALIDATION_FAILED","",""
"","1","propagates 404 for invalid iccid","createEsimService — get","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","HTTP error propagation — EC-A3","",""
"","254","rejects order with negative quantity as 422","Live Airalo Partner API","Sat Mar 28 14:52:03 UTC 2026","passed","Sat Mar 28 14:52:04 UTC 2026","","Order submission — POST /orders","",""
"","0","propagates 500 Server Error","createAuthService — getToken","Sat Mar 28 14:49:42 UTC 2026","passed","Sat Mar 28 14:49:42 UTC 2026","","HTTP error propagation — EC-A1","",""
"","1","validation error fixture does NOT match token schema","negative contract tests — schema cross-validation","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","32","returns eSIM details in same order as SIMs (Promise.all preserves order)","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","happy path","",""
"","2","transitions to FETCHING with valid iccid","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","UNRESOLVED → FETCHING","",""
"","1","sends quantity as string in FormData","createOrderService — submit","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","FormData request construction","",""
"","2","order package_id matches expected package","order contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","VALID_TOKEN + TTL_EXPIRED → EXPIRED","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","tolerates unknown fields from future API versions","backward compatibility — esim","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","0","CREATED + VALIDATION_ERROR → CREATED","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","EXPIRED always has null accessToken","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","context invariants","",""
"","2","rejects token response with empty access_token","token contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","0","validation error message is a non-empty string","error contracts","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","IDLE → CREATING → CREATED → COMPLETE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","Full order lifecycle","",""
"","1","IDLE + AUTH_ERROR → IDLE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","2","handles large order with 50 SIMs","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","happy path","",""
"","1","retries when under max retries","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","FAILED → REQUESTING (retry)","",""
"","1","validation error tolerates extra fields in errors map","backward compatibility — error schemas","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","2","fetches eSIMs concurrently via Promise.all","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","concurrent eSIM fetching","",""
"","1","propagates 502 Bad Gateway from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","order creation errors — HTTP status codes","",""
"","1","NO_TOKEN + RETRY → NO_TOKEN","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","omits description field when not provided","createOrderService — submit","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","happy path","",""
"","1","iccid is preserved across transitions","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","context invariants","",""
"","1","propagates 401 for invalid token","createOrderService — submit","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","HTTP error propagation — EC-A2","",""
"","0","transitions on successful order","Full Flow State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","AUTHENTICATED → ORDER_SUBMITTED","",""
"","0","VALIDATION_FAILED + ORDER_SUCCESS → VALIDATION_FAILED","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","NO_TOKEN → REQUESTING → VALID_TOKEN → EXPIRED → REQUESTING → VALID_TOKEN","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","Full lifecycle","",""
"","0","NOT_FOUND + NOT_FOUND → NOT_FOUND","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","IDLE + RESET → IDLE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","CREATING + ALL_ESIMS_FETCHED → CREATING","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","validation error still valid without optional errors map","backward compatibility — error schemas","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","237","rejects eSIM fetch with invalid iccid as 404 or 422","Live Airalo Partner API","Sat Mar 28 14:52:05 UTC 2026","passed","Sat Mar 28 14:52:05 UTC 2026","","eSIM retrieval — GET /sims/{iccid}","",""
"","0","CREATED + ORDER_SUCCESS → CREATED","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","order fixture has correct top-level shape","order contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","2","propagates 403 Forbidden from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","order creation errors — HTTP status codes","",""
